Device,     OpenMP, Kokkos, CUDA,   OpenACC, OpenCL
Skylake,    205365, 174247, X,       82968,  106916
KNL,        451777, 304153, X,      444209,  286165
Power 9,    247696, 250165, X,      246659,  X
Naples,     189738, 180588, X,      257128,  X
ThunderX2,  245793, 243864, X,      X,       X
Ampere,     105509,  91117, X,      X,       X
NEC Aurora, 976129, X,      X,      X,       X
K20,        143910, 151697, 150361, X,       151494
P100,       552804, 557103, 551871, 551569,  551253
V100,       774353, 828429, 833403, 828913,  838705
Turing,     528049, 554186, 555581, 555081,  553617
Radeon VII, X,      X,      X,      X,       813507
